damage_id,report_key,event_order,source,target,skill,sample_type,damage,base_common,z_b160,off_force,setup_force,current_force,target_command,target_eff_command,source_hp,target_damage_taken_pct,pierce_pct,total_multiplier,current_trigger,raw_text
872,battle_20260620_024521,94,马云禄,赵云,普通攻击,normal_attack,347.0,334.09681355404774,150660.95807219783,293.5,328.17,328.17,290.95,290.95,9631.0,-2.1,0.0,1.0386211,,[赵云]损失了兵力347(15653)
873,battle_20260620_024521,98,马云禄,赵云,红妆缭乱,physical_skill,894.0,325.6810173003207,146865.85475157964,293.5,328.17,328.17,290.95,290.95,9631.0,7.9,0.0,2.7450172178,,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力894(14759)"
879,battle_20260620_024521,128,张飞,马云禄,万人之敌,physical_skill,1020.0,444.9856787805033,156488.1136567396,307.0,337.7,337.7,191.67,191.67,16000.0,-3.0,0.0,2.2922086005,会心,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力1020(7993)"
880,battle_20260620_024521,132,张飞,诸葛亮,万人之敌,physical_skill,396.0,374.163275249795,157365.59030455878,307.0,337.7,337.7,260.58,260.58,16000.0,-10.0,0.0,1.058361486,,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力396(8819)"
883,battle_20260620_024521,155,张飞,诸葛亮,普通攻击,normal_attack,303.0,360.5260010102581,154308.73369240056,307.0,337.7,337.7,268.01,268.01,16000.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力303(8331)
887,battle_20260620_024521,178,赵云,马云禄,普通攻击,normal_attack,443.0,422.90656714710957,148723.552468624,296.49,326.14,326.14,191.67,191.67,14269.0,7.0,0.0,1.0475127,,[马云禄]损失了兵力443(7058)
888,battle_20260620_024521,183,赵云,马云禄,辕门射戟,physical_skill,995.0,431.7587054292776,151836.58393831403,296.49,326.14,326.14,191.67,191.67,14269.0,7.0,0.0,2.3045279400000003,,"[马云禄]由于[赵云]的【辕门射戟】的伤害,损失了兵力995(6063)"
891,battle_20260620_024521,207,马云禄,赵云,普通攻击,normal_attack,325.0,367.7822886057209,165851.42304674984,293.5,328.17,365.27,290.95,290.95,5883.0,-2.1,0.0,0.8836749622503289,,[赵云]损失了兵力325(13944)
892,battle_20260620_024521,213,马云禄,张飞,普通攻击,normal_attack,300.0,397.7373507270044,169515.65887984927,293.5,328.17,365.27,266.2,266.2,5948.0,-2.1,0.0,0.7542666019463469,,[张飞]损失了兵力300(15700)
893,battle_20260620_024521,219,马云禄,张飞,红妆缭乱,physical_skill,778.0,388.7857879159359,165700.50280977186,293.5,328.17,365.27,266.2,266.2,6008.0,7.9,0.0,2.0011019542931976,,"[张飞]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力778(14922)"
894,battle_20260620_024521,223,马云禄,张飞,红妆缭乱,physical_skill,790.0,390.95560774010323,166625.28001883198,293.5,328.17,365.27,266.2,266.2,6164.0,7.9,0.0,2.0206897774572163,,"[张飞]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力790(14132)"
895,battle_20260620_024521,228,马超,诸葛亮,普通攻击,normal_attack,498.0,374.42584278144574,165814.48447576325,304.0,334.4,334.4,282.85,282.85,16000.0,0.0,0.0,1.3300363999999998,,[诸葛亮]损失了兵力498(7666)
896,battle_20260620_024521,235,张飞,诸葛亮,万人之敌,physical_skill,597.0,338.25871853390544,149797.87350274003,307.0,337.7,337.7,282.85,282.85,14132.0,0.0,0.0,1.7649212490000004,会心,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力597(7069)"
898,battle_20260620_024521,250,张飞,马云禄,万人之敌,physical_skill,730.0,432.85026431500364,152220.4524516573,307.0,337.7,337.7,191.67,191.67,14132.0,7.0,0.0,1.6864954469999995,,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力730(5592)"
899,battle_20260620_024521,258,张飞,马云禄,水淹七军,physical_skill,1450.0,462.95365466778566,153547.83864366444,307.0,337.7,337.7,171.67,171.67,14132.0,7.0,0.0,3.132062973,,"[马云禄]由于[张飞]的【水淹七军】的伤害,损失了兵力1450(4142)"
900,battle_20260620_024521,268,张飞,诸葛亮,水淹七军,physical_skill,776.0,355.12589081487727,152800.01704091724,307.0,337.7,337.7,270.27,270.27,14132.0,0.0,0.0,2.185140594,,"[诸葛亮]由于[张飞]的【水淹七军】的伤害,损失了兵力776(6378)"
901,battle_20260620_024521,273,张飞,诸葛亮,普通攻击,normal_attack,296.0,352.197017488569,151539.81071480658,307.0,337.7,337.7,270.27,270.27,14132.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力296(6082)
907,battle_20260620_024521,301,赵云,诸葛亮,普通攻击,normal_attack,329.0,332.7428916914808,145638.23626444422,296.49,326.14,326.14,277.69,277.69,13944.0,0.0,0.0,0.9887514000000001,,[诸葛亮]损失了兵力329(5353)
909,battle_20260620_024521,313,赵云,诸葛亮,辕门射戟,physical_skill,693.0,318.5836197046092,141804.7549667186,296.49,326.14,326.14,285.11,285.11,13944.0,0.0,0.0,2.1752530800000005,,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力693(4739)"
910,battle_20260620_024521,335,张飞,诸葛亮,万人之敌,physical_skill,397.0,337.4088222561821,150184.04087444922,307.0,337.7,337.7,285.11,285.11,13536.0,0.0,0.0,1.1766141660000002,,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力397(4342)"
914,battle_20260620_024521,356,张飞,马云禄,万人之敌,physical_skill,766.0,454.1963047469764,150643.28839542964,307.0,337.7,337.7,171.67,171.67,13536.0,7.0,0.0,1.6864954469999995,,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力766(2138)"
922,battle_20260620_024521,433,张飞,诸葛亮,普通攻击,normal_attack,339.0,403.3607734075165,155596.4183419495,307.0,337.7,337.7,225.75,225.75,13536.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力339(3050)
924,battle_20260620_024521,447,赵云,诸葛亮,普通攻击,normal_attack,377.0,381.28896707504026,147082.21904919678,296.49,326.14,326.14,225.75,225.75,12325.0,0.0,0.0,0.9887514000000001,,[诸葛亮]损失了兵力377(2673)
925,battle_20260620_024521,459,马超,诸葛亮,普通攻击,normal_attack,861.0,431.56713605732904,166477.02273411467,304.0,334.4,334.4,225.75,225.75,15833.0,0.0,0.0,1.9950545999999996,会心,[诸葛亮]损失了兵力861(1812)
927,battle_20260620_024521,464,张飞,诸葛亮,万人之敌,physical_skill,477.0,405.40052447405253,156383.25231586577,307.0,337.7,337.7,225.75,225.75,14012.0,0.0,0.0,1.1766141660000002,,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力477(437)"
930,battle_20260620_024521,479,张飞,诸葛亮,普通攻击,normal_attack,335.0,398.60135425226554,153760.47240281143,307.0,337.7,337.7,225.75,225.75,14012.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力335(188)
932,battle_20260620_030317,89,马云禄,张飞,普通攻击,normal_attack,247.0,279.78271892812273,119243.39480716591,213.5,244.17,244.17,266.2,266.2,10000.0,-2.1,0.0,0.8828279349999999,,[张飞]损失了兵力247(15753)
933,battle_20260620_030317,93,马云禄,张飞,红妆缭乱,physical_skill,631.0,270.4365336445616,115260.05063931216,213.5,244.17,244.17,266.2,266.2,10000.0,7.9,0.0,2.33326463513,,"[张飞]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力631(15122)"
934,battle_20260620_030317,95,马云禄,张飞,红妆缭乱,physical_skill,634.0,271.7222857855025,115808.03820178116,213.5,244.17,244.17,266.2,266.2,10000.0,7.9,0.0,2.33326463513,,"[张飞]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力634(14488)"
935,battle_20260620_030317,98,张飞,马云禄,万人之敌,physical_skill,511.0,334.39364978946645,145685.28140377684,307.0,337.7,337.7,275.67,275.67,14488.0,-3.0,0.0,1.528139067,,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力511(9489)"
936,battle_20260620_030317,102,张飞,诸葛亮,万人之敌,physical_skill,322.0,304.24387532937874,149003.43794256324,307.0,337.7,337.7,329.75,329.75,14488.0,-10.0,0.0,1.058361486,,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力322(9678)"
939,battle_20260620_030317,123,张飞,诸葛亮,普通攻击,normal_attack,254.0,302.2231163584342,150256.26675992273,307.0,337.7,337.7,337.17,337.17,14009.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力254(9633)
940,battle_20260620_030317,133,赵云,诸葛亮,普通攻击,normal_attack,280.0,283.18543973743044,142892.54103711003,296.49,326.14,326.14,344.59,344.59,15659.0,0.0,0.0,0.9887514000000001,,[诸葛亮]损失了兵力280(9353)
942,battle_20260620_030317,142,赵云,诸葛亮,辕门射戟,physical_skill,620.0,285.0243062292319,143820.4146802081,296.49,326.14,326.14,344.59,344.59,15659.0,0.0,0.0,2.1752530800000005,,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力620(8838)"
946,battle_20260620_030317,173,马云禄,赵云,普通攻击,normal_attack,275.0,264.77413177914445,119399.89472580519,213.5,244.17,251.59,290.95,290.95,9176.0,-2.1,0.0,1.0386211,,[赵云]损失了兵力275(15015)
951,battle_20260620_030317,194,马云禄,赵云,红妆缭乱,physical_skill,698.0,255.1322495925615,115051.8879537656,213.5,244.17,251.59,290.95,290.95,8921.0,7.9,0.0,2.735836026667287,,"[赵云]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力698(13906)"
954,battle_20260620_030317,207,马云禄,赵云,红妆缭乱,physical_skill,706.0,259.6121838494787,117072.11430692242,213.5,244.17,259.01,290.95,290.95,8781.0,7.9,0.0,2.7194409350577082,,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力706(13200)"
955,battle_20260620_030317,211,马云禄,赵云,红妆缭乱,physical_skill,705.0,257.66893259922017,116195.80515561833,213.5,244.17,259.01,290.95,290.95,8923.0,7.9,0.0,2.7360690824786444,,"[赵云]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力705(12495)"
956,battle_20260620_030317,216,马超,马云禄,普通攻击,normal_attack,534.0,378.97062211221197,165106.13093562739,304.0,334.4,334.4,275.67,275.67,15591.0,7.0,0.0,1.4090801999999998,,[马云禄]损失了兵力534(8530)
961,battle_20260620_030317,243,张飞,诸葛亮,普通攻击,normal_attack,235.0,279.6158753709922,147315.62393920726,307.0,337.7,337.7,366.85,366.85,13506.0,0.0,0.0,0.84043869,,[诸葛亮]损失了兵力235(7269)
962,battle_20260620_030317,258,赵云,马云禄,普通攻击,normal_attack,518.0,329.66982961956774,143627.25467035707,296.49,326.14,326.14,275.67,275.67,12971.0,7.0,0.0,1.57126905,会心,[马云禄]损失了兵力518(6307)
963,battle_20260620_030317,260,赵云,马云禄,辕门射戟,physical_skill,757.0,328.48375880398305,143110.5191981313,296.49,326.14,326.14,275.67,275.67,12971.0,7.0,0.0,2.3045279400000003,,"[马云禄]由于[赵云]的【辕门射戟】的伤害,损失了兵力757(5550)"
967,battle_20260620_030317,291,马云禄,赵云,红妆缭乱,physical_skill,593.0,268.2480645941219,120966.46472871926,213.5,244.17,281.27,290.95,290.95,5091.0,7.9,0.0,2.2106403671439363,,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力593(12219)"
973,battle_20260620_030317,323,张飞,诸葛亮,万人之敌,physical_skill,314.0,266.8674312051415,146539.57514905525,307.0,337.7,337.7,389.11,389.11,12761.0,0.0,0.0,1.1766141660000002,,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力314(6762)"
974,battle_20260620_030317,334,张飞,马云禄,万人之敌,physical_skill,833.0,329.282438515432,143458.47998801825,307.0,337.7,337.7,275.67,275.67,12761.0,7.0,0.0,2.5297431704999993,会心,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力833(4155)"
975,battle_20260620_030317,341,张飞,诸葛亮,水淹七军,physical_skill,610.0,279.1582389137566,147705.41579165775,307.0,337.7,337.7,369.11,369.11,12761.0,0.0,0.0,2.185140594,,"[诸葛亮]由于[张飞]的【水淹七军】的伤害,损失了兵力610(6152)"
979,battle_20260620_030317,359,张飞,马云禄,水淹七军,physical_skill,1114.0,355.6761181378712,147843.8920263689,307.0,337.7,337.7,255.67,255.67,12761.0,7.0,0.0,3.132062973,,"[马云禄]由于[张飞]的【水淹七军】的伤害,损失了兵力1114(3041)"
