damage_id,report_id,report_key,event_order,round_no,source,target,skill,buff,sample_type,damage,base_common,z_b160,off_force,setup_force,current_force,off_intelligence,setup_intelligence,current_intelligence,target_command,target_eff_command,source_hp,skill_multiplier,troop_multiplier,unit_multiplier,source_bucket,target_bucket,source_damage_pct,target_damage_taken_pct,source_country_bonus,target_country_reduction,pierce_pct,grade_multiplier,trigger_multiplier,special_multiplier,total_multiplier,target_has_yijing_static,current_trigger,source_is_npc,target_is_npc,raw_text
872,6,battle_20260620_024521,94,1,马云禄,赵云,普通攻击,,normal_attack,347.0,334.09681355404774,150660.95807219783,293.5,328.17,328.17,109.0,134.44,134.44,290.95,290.95,9631.0,1.0,1.0,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,1.0386211,False,,False,True,[赵云]损失了兵力347(15653)
873,6,battle_20260620_024521,98,1,马云禄,赵云,红妆缭乱,,physical_skill,894.0,325.6810173003207,146865.85475157964,293.5,328.17,328.17,109.0,134.44,134.44,290.95,290.95,9631.0,2.398,1.0,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.7450172178,False,,False,True,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力894(14759)"
879,6,battle_20260620_024521,128,1,张飞,马云禄,万人之敌,,physical_skill,1020.0,444.9856787805033,156488.1136567396,307.0,337.7,337.7,172.0,189.2,189.2,191.67,191.67,16000.0,1.4,1.0,1.15,1.014,0.965,1.4,-3.0,0.0,0.5,0.0,0.97,1.5,1.0,2.2922086005,False,会心,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力1020(7993)"
880,6,battle_20260620_024521,132,1,张飞,诸葛亮,万人之敌,,physical_skill,396.0,374.163275249795,157365.59030455878,307.0,337.7,337.7,172.0,189.2,189.2,260.58,260.58,16000.0,1.4,1.0,0.85,1.014,0.895,1.4,-10.0,0.0,0.5,0.0,0.98,1.0,1.0,1.058361486,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力396(8819)"
883,6,battle_20260620_024521,155,1,张飞,诸葛亮,普通攻击,,normal_attack,303.0,360.5260010102581,154308.73369240056,307.0,337.7,337.7,172.0,189.2,189.2,268.01,268.01,16000.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力303(8331)
887,6,battle_20260620_024521,178,1,赵云,马云禄,普通攻击,,normal_attack,443.0,422.90656714710957,148723.552468624,296.49,326.14,326.14,206.0,226.6,226.6,191.67,191.67,14269.0,1.0,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,1.0475127,False,,True,False,[马云禄]损失了兵力443(7058)
888,6,battle_20260620_024521,183,1,赵云,马云禄,辕门射戟,,physical_skill,995.0,431.7587054292776,151836.58393831403,296.49,326.14,326.14,206.0,226.6,226.6,191.67,191.67,14269.0,2.2,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,2.3045279400000003,False,,True,False,"[马云禄]由于[赵云]的【辕门射戟】的伤害,损失了兵力995(6063)"
891,6,battle_20260620_024521,207,2,马云禄,赵云,普通攻击,,normal_attack,325.0,367.7822886057209,165851.42304674984,293.5,328.17,365.27,109.0,134.44,134.44,290.95,290.95,5883.0,1.0,0.8508155305629059,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,0.8836749622503289,False,,False,True,[赵云]损失了兵力325(13944)
892,6,battle_20260620_024521,213,2,马云禄,张飞,普通攻击,,normal_attack,300.0,397.7373507270044,169515.65887984927,293.5,328.17,365.27,109.0,134.44,134.44,266.2,266.2,5948.0,1.0,0.854375549349089,0.85,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,0.7542666019463469,False,,False,True,[张飞]损失了兵力300(15700)
893,6,battle_20260620_024521,219,2,马云禄,张飞,红妆缭乱,,physical_skill,778.0,388.7857879159359,165700.50280977186,293.5,328.17,365.27,109.0,134.44,134.44,266.2,266.2,6008.0,2.398,0.8576403739911415,0.85,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.0011019542931976,False,,False,True,"[张飞]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力778(14922)"
