hero,n,n_all,offF,offI,setupF,setupI,K,rmse,hp_min,hp_max,target_yijing_rows,curF_min,curF_max,report
吕布,14,14,260.0,70.0,280.0,90.0,456.718702612009,0.028902616500838037,1970.0,9311.0,0,280.0,339.36,battle_20260621_001111
吕布,22,22,265.0,70.0,285.0,90.0,457.6704075572946,0.022643319652765375,628.0,9310.0,0,285.0,311.53,battle_20260621_021147
吕布,37,37,270.0,70.0,290.0,90.0,465.14211492959225,0.04081607677043675,387.0,9303.0,0,278.49,334.52,battle_20260621_030544
吕布,30,30,310.0,70.0,330.0,90.0,489.1442273292502,0.0701419664971446,513.0,9255.0,0,312.01,356.53,battle_20260621_011832
吕布,28,28,340.0,90.0,360.0,110.0,492.00713492622947,0.08615904653448551,116.0,10236.0,0,355.91,419.36,battle_20260621_144654
吕布,33,33,350.0,70.0,370.0,90.0,510.9367199701615,0.12128499255010722,169.0,10219.0,0,359.43,399.68,battle_20260621_132009
吕布,26,26,360.0,70.0,380.0,90.0,519.3196263724919,0.13609173284659518,126.0,9177.0,0,376.85,406.53,battle_20260620_184222
张飞,32,32,307.0,172.0,337.7,189.2,447.3216046480321,0.025607336850423216,12761.0,16000.0,0,337.7,337.7,battle_20260620_024521
赵云,30,30,296.49,206.0,326.14,226.6,441.902407356177,0.022754173140655642,11100.0,16000.0,0,326.14,326.14,battle_20260620_024521
马云禄,8,8,213.5,109.0,244.17,134.44,434.4384893432107,0.05824110234289263,2080.0,10000.0,0,244.17,303.53,battle_20260620_040920
马云禄,3,3,213.5,189.01,244.17,218.45,458.158532399224,0.020705336075243056,8016.0,10000.0,0,244.17,259.01,battle_20260620_042014
马云禄,3,3,213.5,109.0,244.17,134.44,463.11527594385586,0.048168802511503836,4942.0,10000.0,0,244.17,288.69,battle_20260620_030317
马云禄,7,7,253.5,109.0,286.17,134.44,399.64798735907436,0.1543223828210208,155.0,10000.0,3,286.17,345.53,battle_20260620_040200
马云禄,5,5,253.5,109.0,286.17,134.44,414.20345875366354,0.16875817167704993,2785.0,10000.0,1,286.17,345.53,battle_20260620_032503
马云禄,3,3,293.5,109.0,328.17,134.44,459.0751027032903,0.008921684667645707,5883.0,9631.0,0,328.17,365.27,battle_20260620_024521
马超,78,78,244.0,103.5,264.0,123.5,476.47461453166176,0.02626775593264015,382.0,11000.0,0,264.0,459.04,battle_20260621_235942
马超,15,15,304.0,163.5,334.4,179.85,493.75480028692857,0.015924947032201223,14059.0,16000.0,0,334.4,334.4,battle_20260620_024521
马超,18,18,304.0,103.5,324.0,123.5,512.1682328164901,0.04542297000240655,635.0,10372.0,0,324.0,519.04,battle_20260622_224501
马超,65,65,344.0,103.5,364.0,123.5,492.92768743791004,0.040054278057185255,1138.0,11000.0,0,364.0,559.04,battle_20260621_144741
黄忠,11,11,288.5,191.0,302.92,200.55,413.40583499260543,0.020758009934953265,11110.0,16000.0,0,302.92,302.92,battle_20260622_224501
黄忠,187,187,288.5,191.0,302.92,200.55,430.2743994622023,0.02628506099245135,2751.0,16000.0,0,237.52,302.92,battle_20260620_184222
黄盖,14,14,226.0,225.0,237.3,236.25,416.0994726574724,0.033849425789241716,6256.0,15750.0,0,237.3,237.3,battle_20260622_224501
黄盖,190,190,226.0,225.0,237.3,236.25,445.70770097288096,0.0944365365950538,1771.0,16000.0,0,106.5,237.3,battle_20260620_184222
