hero,n,n_all,offF,offI,setupF,setupI,K,rmse,hp_min,hp_max,target_yijing_rows,curF_min,curF_max,report
吕布,2,14,260.0,70.0,280.0,90.0,473.16135881494847,0.004173508383590923,9300.0,9311.0,0,280.0,287.42,battle_20260621_001111
吕布,5,22,265.0,70.0,285.0,90.0,468.4694102493932,0.008433816282616273,9287.0,9310.0,0,285.0,292.42,battle_20260621_021147
吕布,7,37,270.0,70.0,290.0,90.0,469.05873961654487,0.011923152739300804,9283.0,9303.0,0,290.0,297.42,battle_20260621_030544
吕布,6,30,310.0,70.0,330.0,90.0,468.5364664375487,0.02044088972120859,9238.0,9255.0,0,330.0,337.42,battle_20260621_011832
吕布,8,28,340.0,90.0,360.0,110.0,478.35469678844174,0.010541264257560775,9161.0,10236.0,0,360.0,374.84,battle_20260621_144654
吕布,7,33,350.0,70.0,370.0,90.0,477.19153645475626,0.013781957062058642,9201.0,10219.0,0,370.0,384.84,battle_20260621_132009
吕布,4,26,360.0,70.0,380.0,90.0,479.24117023967585,0.007899092585542026,9163.0,9177.0,0,380.0,387.42,battle_20260620_184222
张飞,32,32,307.0,172.0,337.7,189.2,447.3216046480321,0.025607336850423216,12761.0,16000.0,0,337.7,337.7,battle_20260620_024521
赵云,30,30,296.49,206.0,326.14,226.6,441.902407356177,0.022754173140655642,11100.0,16000.0,0,326.14,326.14,battle_20260620_024521
马云禄,1,3,213.5,189.01,244.17,218.45,471.2211998695153,0.0,10000.0,10000.0,0,244.17,244.17,battle_20260620_042014
马云禄,2,8,213.5,109.0,244.17,134.44,472.88248177837227,0.010723652585865643,9142.0,10000.0,0,244.17,251.59,battle_20260620_040920
马云禄,2,3,213.5,109.0,244.17,134.44,481.2655017236702,0.014315958564136725,9176.0,10000.0,0,244.17,251.59,battle_20260620_030317
马云禄,1,7,253.5,109.0,286.17,134.44,460.41996855079464,0.0,9325.0,9325.0,0,293.59,293.59,battle_20260620_040200
马云禄,1,5,253.5,109.0,286.17,134.44,462.7505950546952,0.0,10000.0,10000.0,0,286.17,286.17,battle_20260620_032503
马云禄,1,3,293.5,109.0,328.17,134.44,459.0942440570369,0.0,9631.0,9631.0,0,328.17,328.17,battle_20260620_024521
马超,17,78,244.0,103.5,264.0,123.5,470.73090252736114,0.014076482018339867,9565.0,11000.0,0,264.0,414.52,battle_20260621_235942
马超,2,18,304.0,103.5,324.0,123.5,487.2931144731764,0.015359050289113685,10370.0,10372.0,0,331.42,331.42,battle_20260622_224501
马超,15,15,304.0,163.5,334.4,179.85,493.75480028692857,0.015924947032201223,14059.0,16000.0,0,334.4,334.4,battle_20260620_024521
马超,17,65,344.0,103.5,364.0,123.5,474.91967146802233,0.01535256098822374,9072.0,11000.0,0,364.0,521.94,battle_20260621_144741
黄忠,11,11,288.5,191.0,302.92,200.55,413.40583499260543,0.020758009934953265,11110.0,16000.0,0,302.92,302.92,battle_20260622_224501
黄忠,172,187,288.5,191.0,302.92,200.55,430.90182411057305,0.02671623971189892,9804.0,16000.0,0,237.52,302.92,battle_20260620_184222
黄盖,12,14,226.0,225.0,237.3,236.25,420.61775948460763,0.020141078852361004,10245.0,15750.0,0,237.3,237.3,battle_20260622_224501
黄盖,152,190,226.0,225.0,237.3,236.25,456.8592591557807,0.0826069250296681,9131.0,16000.0,0,106.5,237.3,battle_20260620_184222
